Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,DHI Units,DNI Units,GHI Units,Temperature Units,Wind Speed Units
NSRDB,20013,Jodhpur,Rajasthan,India,26.35,73.05,5.5,0,5.5,w/m2,w/m2,w/m2,c,m/s
,,,,,,,,,,,,,,
Hour,GHI,DHI,Temperature,Wind Speed,,,,,,,,,,
3408,0,0,34,0.4,,,,,,,,,,
3409,0,0,33,0.5,,,,,,,,,,
3410,0,0,32,0.5,,,,,,,,,,
3411,0,0,32,0.5,,,,,,,,,,
3412,0,0,31,0.6,,,,,,,,,,
3413,0,0,30,0.5,,,,,,,,,,
3414,0,0,29,0.5,,,,,,,,,,
3415,51,49,29,0.5,,,,,,,,,,
3416,252,163,32,0.5,,,,,,,,,,
3417,470,213,35,0.5,,,,,,,,,,
3418,670,254,38,0.5,,,,,,,,,,
3419,835,280,41,0.5,,,,,,,,,,
3420,938,294,43,0.6,,,,,,,,,,
3421,976,299,44,0.6,,,,,,,,,,
3422,945,295,45,0.6,,,,,,,,,,
3423,849,281,45,0.6,,,,,,,,,,
3424,696,257,44,0.6,,,,,,,,,,
3425,502,220,43,0.5,,,,,,,,,,
3426,284,176,41,0.4,,,,,,,,,,
3427,74,68,39,0.4,,,,,,,,,,
3428,0,0,38,0.3,,,,,,,,,,
3429,0,0,37,0.3,,,,,,,,,,
3430,0,0,37,0.3,,,,,,,,,,
3431,0,0,36,0.3,,,,,,,,,,
3432,0,0,35,0.3,,,,,,,,,,
3433,0,0,34,0.3,,,,,,,,,,
3434,0,0,33,0.3,,,,,,,,,,
3435,0,0,32,0.2,,,,,,,,,,
3436,0,0,32,0.1,,,,,,,,,,
3437,0,0,31,0.1,,,,,,,,,,
3438,0,0,30,0.1,,,,,,,,,,
3439,60,56,32,0.1,,,,,,,,,,
3440,236,158,35,0.1,,,,,,,,,,
3441,404,255,40,0.1,,,,,,,,,,
3442,647,275,44,0.1,,,,,,,,,,
3443,801,313,46,0,,,,,,,,,,
3444,864,362,48,0,,,,,,,,,,
3445,971,322,49,0,,,,,,,,,,
3446,952,291,49,0,,,,,,,,,,
3447,854,275,48,0.1,,,,,,,,,,
3448,696,262,47,0.1,,,,,,,,,,
3449,487,262,45,0.1,,,,,,,,,,
3450,109,109,42,0.1,,,,,,,,,,
3451,16,16,40,0.1,,,,,,,,,,
3452,0,0,38,0.1,,,,,,,,,,
3453,0,0,37,0,,,,,,,,,,
